dataset,algorithm,k,coreset_size,coreset_size_factor,running_time,real_cost,coreset_cost,distortion,real_cost_synthetic,coreset_cost_synthetic,distortion_synthetic,real_cost_synthetic2,coreset_cost_synthetic2,distortion_synthetic2
NYTimes,Group Sampling,10,1000,100,58.0,282270164.3085614,267355572.13562968,1.0557856043687226,289774687.18673784,283118973.93243897,1.0235085383429199,282046778.180957,270684220.5671244,1.0419771702614447
NYTimes,Group Sampling,10,1000,100,54.0,281492092.417244,267896294.03089863,1.0507502294331001,289196876.4968264,283607049.8748384,1.0197097590643636,281954010.55970854,271936718.19558287,1.0368368509798702
NYTimes,Group Sampling,10,1000,100,54.0,282323630.52973443,264653782.47117716,1.066765900315374,288205640.5167129,277979033.620697,1.0367891303268941,286523806.30292565,272067883.0183797,1.0531335162539908
NYTimes,Group Sampling,10,1000,100,53.0,281873294.8412984,263212734.82020205,1.070895354033091,288443052.1919615,277599293.4178145,1.0390626310342443,282751881.3539333,268316425.2945215,1.053800120673069
NYTimes,Group Sampling,10,1000,100,51.0,280886347.9799577,264595542.46891373,1.0615687073147042,288240603.1001498,280522171.1430587,1.0275145166802337,285559135.6901755,273220873.2353188,1.0451585646028956
NYTimes,Group Sampling,10,1000,100,54.0,282203526.93444234,269547419.9197784,1.0469531743929532,287789679.4178481,283108716.45175314,1.016534153468541,282511209.6306393,273508266.2257506,1.0329165312958322
NYTimes,Sensitivity Sampling,20,1000,50,88.0,277447006.57873076,260398441.54691118,1.0654710716797753,287917957.4743055,284864106.38272786,1.01072037867584,279154521.83287865,269291439.345804,1.0366260528408748
NYTimes,Sensitivity Sampling,20,1000,50,93.0,277117284.1410017,262831359.7383521,1.054353956913175,286990353.3343921,286161887.02324903,1.0028950966173764,281082446.751702,273571595.0608282,1.0274547936499174
NYTimes,Sensitivity Sampling,20,1000,50,86.0,278927097.60464936,268343663.36576182,1.0394398515177978,291433369.29786044,295733895.322534,1.0147564640076552,284850140.16584307,281419560.9737583,1.0121902655956623
NYTimes,Sensitivity Sampling,20,1000,50,91.0,278145099.2172618,264687828.1902448,1.050842047097627,294082832.0597292,295191254.53618395,1.0037690825700074,280002559.02156794,273330986.3042252,1.0244084024557578
NYTimes,Sensitivity Sampling,20,1000,50,87.0,277465650.83388406,268592916.60067844,1.0330341333848236,288276439.5759512,295002733.59878063,1.0233327913745698,277998648.2229695,276336727.86280864,1.0060141131908673
NYTimes,Sensitivity Sampling,20,1000,50,88.0,278436660.69041806,266298904.08129385,1.0455794463405637,292522859.1058362,295382670.1213039,1.0097763676459657,281533778.8391161,276478948.40232736,1.0182828763853407
NYTimes,Sensitivity Sampling,20,1000,50,82.0,279012272.2949919,267702599.9596948,1.0422471516414107,340016622.81883824,344528346.31787837,1.0132691262610534,284529061.23549986,279950219.77655405,1.0163559130712614
NYTimes,Sensitivity Sampling,20,1000,50,90.0,280184590.45714206,270426741.30215776,1.0360831517918618,291967561.4888257,296154141.32764256,1.0143391951402694,285226544.78176385,282817140.7411988,1.008519299906118
NYTimes,Sensitivity Sampling,20,1000,50,87.0,278192253.4553434,265652572.31310785,1.0472033115774082,383352876.9542268,392303776.8140785,1.023348983137853,280610396.80261886,275742257.9877238,1.0176546708887535
NYTimes,Sensitivity Sampling,20,1000,50,91.0,278771459.3390001,267695391.5605588,1.0413756386087643,294455944.41844237,296872654.6949886,1.0082073747273783,280588270.5789816,274901535.0894506,1.0206864450126862
NYTimes,BICO,30,1500,50,34.0,269820759.1999067,16532929.97530001,16.32020214221046,285790718.99389714,24349056.612511188,11.737239907974518,273479790.41230124,19997849.640655555,13.675459878262002
NYTimes,BICO,30,1500,50,22.0,269836554.04958016,12623836.964349631,21.37516151480826,286138887.1818771,17837966.62984636,16.041003614341978,274659924.64759636,14861866.974395836,18.48084935229087
NYTimes,BICO,30,1500,50,24.0,269831043.6009499,13051419.128968162,20.674460067108622,287315217.4847503,18608773.188350923,15.439772121281448,275710647.1536229,18126067.205120027,15.210726300062685
NYTimes,BICO,30,1500,50,21.0,270647237.70761526,10125008.814638063,26.73056810739083,288100988.7035613,14159993.69627576,20.346124079090174,275434433.349302,11798953.517688323,23.343971390037794
NYTimes,BICO,30,1500,50,23.0,271531381.53501797,10089746.664849395,26.911615380887365,287033146.4468543,14266670.951478489,20.119139736457466,273654635.88979685,11400595.031633716,24.003539738976404
NYTimes,BICO,30,1500,50,26.0,269944894.93589056,15238366.939197892,17.714817868147474,287129358.80171865,20429446.568929214,14.05468120895691,273547517.1986517,19532357.296599597,14.004838896034007
NYTimes,BICO,30,1500,50,14.0,271333428.13785064,11110968.641066562,24.420321657194854,286900374.8939728,15396607.103140568,18.63399987880781,273381602.8646677,12325118.34834458,22.18085012558004
NYTimes,BICO,30,1500,50,23.0,270749291.3132976,11908902.047774054,22.735033861824785,286620359.9952789,17166743.951237593,16.696256483432652,275043518.16978097,14825746.832425043,18.551747934089885
NYTimes,BICO,30,1500,50,32.0,271050616.7164444,13027311.890492026,20.806335105423436,287298591.07606375,17055886.46622897,16.84454171554913,273739292.68122894,14378016.83321827,19.038737807622745
NYTimes,BICO,30,1500,50,27.0,270187945.8496825,14538791.676956387,18.583934060897473,287340624.8882571,19889701.91490911,14.44670343062656,274526730.3174733,19745288.751459245,13.903404187856449
